En,Nk
adjudicate at a flower show,꽃전시회심사원을 하다
be under adjudication in the courts,법정에서 재판중에 있다
Computer technology is an adjunct to learning,콤퓨터기술은 학업의 방조자이다
The judge adjured him to answer truthfully,판사는 그에게 솔직하게 대답하라고 지시하였다
Check and adjust the brakes regularly,제동기를 정상적으로 검사하고 정비하시오
Taste the soup and adjust the seasoning,국맛을 보고 양념을 조절하시오
The interest rate should be adjusted for inflation,리률은 통화팽창에 맞게 조절되여야 한다
adjust to the tropical climate,열대기후에 적응하다
My parents had trouble adjusting to living in an apartment,나의 부모는 아빠트에서 사는데 익숙하기 힘들어하였다
a climbing harness that adjusts to the correct fit,딱 맞게 조절되는 등산용안전띠
a slight adjustment to the mechanism,기계장치에 대한 약간한 조정
He had to adlib because hed forgotten his script,그는 대사를 잊어먹어서 즉흥적으로 말하지 않으면 안되였다
He adlibbed half the speech,그는 연설의 절반을 원고없이 하였다
daytoday admin,날마다 하는 행정사업
admin staff,행정직원들
administer First Aid,구급치료를 하다
Painkillers were administered to the boy,진통제를 소년에게 먹였다
administer an oath to,에게 맹세하다
remain under French administration,프랑스의 통치하에 남아있다
successive Conservative administrations,력대보수당정부
the Bush administration,부쉬행정부
the administration of justice,사법
the administration of justice,재판
the administration of justice,법의 집행
the administration of justice,처벌
the oral administration of antibiotic,항생제복용
letters of administration,유산관리장
gaze in admiration at,감탄하여 을 자세히 바라보다
be full of admiration for,감탄하여 마지 않다
grudging admiration,내키지 않는 동경심
the admiration of everyone,모든 사람의 동경의 대상
We were all admiring the picture,우리 모두는 그 그림을 바라보고있었다
cast admiring glances,경탄의 시선을 던지다
Foreigners were admissible only as temporary workers,외국인들은 림시고용인으로만 들어갈수 있었다
a tacit admission of that I was wrong,잘못했다는 말없는 인정
Silence is often interpreted as an admission of guilt,침묵은 흔히 죄를 인정한것으로 해석된다
Admission free,입장무료
Palestines admission to UN,팔레스티나의 유엔가입
be refused admission,입장을 거절당하다
gain admission to a club,구락부에 가입하다
have a history of hospital admissions for similar symptoms,비슷한 증상으로 입원한 경력을 가지고있다
The Museum has no admission charge,그 박물관은 입장료를 받지 않는다
Cinema admissions have been rising recently,영화관의 관람자수가 최근에 늘어나고있다
Half of all hospital admissions are emergencies,모든 입원환자들의 절반은 구급환자들이다
"you may not like her, but you have to admit that she's good at her job",그를 좋아하지 않을수 있지만 일은 잘한다는건 인정해야 한다
admit defeat,패배를 인정하다
be admitted free to the museum,박물관에 무료입장하다
He was admitted to the freedom of the city,그는 그 도시의 명예시민권을 받았다
admit to the illegal possession of arms,비법적으로 무기를 가지고있다는것을 인정하다
The facts admit of no other explanation,사실은 다르게 설명할 여지가 없다
The latest events admit several interpretations,최근의 사건은 여러가지로 해석할수 있다
gain admittance to,에 입장이 허락되다
gain admittance to,입장하다
No admittance except on business,용무자외출입금지
Admittedly the salary was not wonderful but the duties were light,로임이 높지 않는것은 사실이지만 그러나 맡은 일은 쉬웠다
His mother admonished him for eating too quickly,그의 어머니는 그가 너무 급히 먹는다고 추궁하였다
He admonished the people against the evil of such practices,그는 사람들에게 그 관습의 해독성에 대해서 경고하였다
lift an admonitory finger,손가락을 내들며 경고하다
He talks ad nauseam about how clever his children are,그는 자기 자식들이 얼마나 똑똑한가 대해서 귀에 못이 박힐 지경으로 이야기한다
adnexa uteri,자궁부속기
make so much ado about nothing,별치 않는 일에 대해 소동을 피우다
She had her second son adopted,그 녀자는 둘째아들을 양자로 들여보냈다
adopt a tough stance on terrorism,테로에 강경한 태도를 취하다
Stevens became a Muslim and adopted the name Yusuf Islam,스티븐스는 이슬람교도가 된다음 유스프 이슬람이라는 이름을 가졌다
put a baby up for adoption,애기를 양자로 내놓다
She adores Korean cuisine,그 녀자는 조선음식을 몹시 좋아한다
walls adorned with paintings,그림들로 장식된 벽
personal adornments,장신구
automatic data processing system,자동자료처리체계
adrenocorticotrophic hormone,생화학
adrenocorticotrophic,생화학
be cast adrift,표류하다
The author came adrift tackling ethical issues,작가는 륜리적문제를 다루는데서 탈선하였다
The hem of my skirts come adrift again,내 치마의 가장자리가 또 풀렸다
He was adroit at tax avoidance,그는 탈세에 솜씨가 있었다
an adult movie,성인용영화
There were complaints that the beer had been adulterated with water,맥주에 물을 섞었다는 불평이 있었다
commit adultery,간통하다
The projects objectives were adumbrated in the report,그 사업의 목적은 보고서에 개괄되여있었다
an ad valorem tax,종가세
advance a cause,위업을 추진시키다
advance an opinion,의견을 말하다
He advanced me a months salary,그는 한달 로임을 선대해주었다
advance towards him,그에게 다가가다
The troops advanced on the city,부대는 도시로 진격하였다
We have advanced greatly in our knowledge of the universe,우주에 대한 우리의 지식은 대단히 늘어났다
Our understanding of human genetics has advanced considerably,인류유전학에 대한 우리의 지식은 상당히 전진하였다
recent advances in genetics,유전학에서의 최근 진보
to book a ticket in advance,표를 미리 예약하다
Could you distribute copies well in advance of the meeting,복사본을 회의에 썩 앞서 배포해주시겠습니까
an advance notice,예고
an advance notice,사전통보
an advance payment,선금
receive no advance warning of the storm,폭풍에 대한 사전경고를 받지 못했다
do advance bookings,예약하다
at an advanced age,고령으로
a gentleman of advanced years,나이가 많은 신사
The cancer is hopelessly advanced,암이 절망적으로 심해지고있다
The night was far advanced,밤이 퍽 깊었다
advanced physics,고등물리
an advanced English course,영어상급과정
Their lives were devoted to the advancement of science,그들의 생은 과학의 진보에 바쳐졌다
career advancement,출세
career advancement,영달
advancing years,로년
advantages and disadvantages,장점과 단점
be at an advantage,유리한 립장에 있다
enjoy many advantages,많은 우점을 가지고있다
have the advantage of,이라는 우점이 있다
take full advantage of the facilities available,리용가능한 설비를 최대한으로 리용하다
children from less advantaged homes,가난한 집출신의 아이들
advantageous interest rates,유리한 리률
a political adventurer,정치적투기분자
the two old adversaries,두 오랜 적수
the adversary system,당사자주의
adverse weather conditions,불리한 일기조건
overcome adverse conditions,불리한 조건을 극복하다
have adverse effects on,에 부정적인 영향이 있다
